Andorra la Vella, 488, 07, 6, AD, 42.50779000, 1.52109000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q1863
Arinsal, 493, 04, 6, AD, 42.57205000, 1.48453000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q24554
Canillo, 489, 02, 6, AD, 42.56760000, 1.59756000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q24554
El Tarter, 489, 02, 6, AD, 42.57952000, 1.65362000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q24413
Encamp, 487, 03, 6, AD, 42.53474000, 1.58014000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q24413
Ordino, 491, 05, 6, AD, 42.55623000, 1.53319000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q3885480
Pas de la Casa, 487, 03, 6, AD, 42.54277000, 1.73361000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q24456
Sant Julià de Lòria, 490, 06, 6, AD, 42.46372000, 1.49129000, 2019-10-05 23:58:06, 2020-05-01 18:52:33, 1, Q1120573
la Massana, 493, 04, 6, AD, 42.54499000, 1.51483000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q3820973
les Escaldes, 492, 08, 6, AD, 42.50729000, 1.53414000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q1050185
Abu Dhabi Island and Internal Islands City, 3396, AZ, 231, AE, 24.45110000, 54.39690000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q1050185
Abu Dhabi Municipality, 3396, AZ, 231, AE, 24.41361000, 54.43295000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q1050185
Adh Dhayd, 3390, SH, 231, AE, 25.28812000, 55.88157000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q3492826
Ajman, 3395, AJ, 231, AE, 25.40328000, 55.52341000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q3492826
Ajman City, 3395, AJ, 231, AE, 25.40177000, 55.47878000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q530171
Al Ain City, 3396, AZ, 231, AE, 24.19167000, 55.76056000, 2019-10-05 23:58:06, 2019-10-05 23:58:06, 1, Q234600
Al Ain Municipality, 3396, AZ, 231, AE, 24.15223000, 55.82040000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q234600
Al Batayih, 3390, SH, 231, AE, 25.22317000, 55.74272000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q234600
Al Dhafra, 3396, AZ, 231, AE, 23.65745000, 53.72225000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q234600
Al Fujairah City, 3393, FU, 231, AE, 25.11641000, 56.34141000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q234600
Al Fujairah Municipality, 3393, FU, 231, AE, 25.13557000, 56.33279000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q234600
Al Hamriyah, 3390, SH, 231, AE, 25.46121000, 55.54813000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q234600
Al Madam, 3390, SH, 231, AE, 24.95536000, 55.76820000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q234600
Al Shamkhah City, 3396, AZ, 231, AE, 24.39268000, 54.70779000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q234600
Ar Ruways, 3396, AZ, 231, AE, 24.11028000, 52.73056000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1023786
Bani Yas City, 3396, AZ, 231, AE, 24.30978000, 54.62944000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1023786
Dhaid, 3390, SH, 231, AE, 25.26951000, 55.92024000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1023786
Dibba Al Fujairah Municipality, 3393, FU, 231, AE, 25.58580000, 56.24792000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1023786
Dibba Al Hesn, 3390, SH, 231, AE, 25.61593000, 56.26899000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1023786
Dibba Al-Fujairah, 3393, FU, 231, AE, 25.59246000, 56.26176000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q3696182
Dibba Al-Hisn, 3393, FU, 231, AE, 25.61955000, 56.27291000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q6742405
Dubai, 3391, DU, 231, AE, 25.06570000, 55.17128000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q6742405
Kalba, 3390, SH, 231, AE, 24.99816000, 56.27207000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q6742405
Khalifah A City, 3396, AZ, 231, AE, 24.42588000, 54.60500000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q6742405
Khawr Fakkan, 3390, SH, 231, AE, 25.33132000, 56.34199000, 2019-10-05 23:58:07, 2020-05-01 18:53:20, 1, Q764279
Khor Fakkan, 3390, SH, 231, AE, 25.33966000, 56.30280000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q764279
Manama, 3395, AJ, 231, AE, 25.32568000, 56.00259000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q764279
Masfout, 3395, AJ, 231, AE, 24.83982000, 56.05158000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q764279
Milehah, 3390, SH, 231, AE, 25.10097000, 55.91282000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q764279
Murba?, 3390, SH, 231, AE, 25.27623000, 56.36256000, 2019-10-05 23:58:07, 2020-05-01 18:53:20, 1, Q764279
Musaffah, 3396, AZ, 231, AE, 24.35893000, 54.48267000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q764279
Muzayri‘, 3396, AZ, 231, AE, 23.14355000, 53.78810000, 2019-10-05 23:58:07, 2020-05-01 18:53:20, 1, Q21735810
Ras Al Khaimah, 3394, RK, 231, AE, 25.46116000, 56.04058000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q21735810
Ras Al Khaimah City, 3394, RK, 231, AE, 25.78953000, 55.94320000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q21735810
Reef Al Fujairah City, 3393, FU, 231, AE, 25.14479000, 56.24764000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q21735810
Sharjah, 3390, SH, 231, AE, 25.33737000, 55.41206000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q289693
Umm AL Quwain, 3392, UQ, 231, AE, 25.49326000, 55.73520000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q289693
Umm Al Quwain City, 3392, UQ, 231, AE, 25.56473000, 55.55517000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q289693
Zayed City, 3396, AZ, 231, AE, 23.65416000, 53.70522000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q289693
Andkhoy, 3889, FYB, 1, AF, 36.95293000, 65.12376000, 2019-10-05 23:58:07, 2020-06-14 17:29:05, 1, Q1054127
Asadabad, 3876, KNR, 1, AF, 34.87311000, 71.14697000, 2019-10-05 23:58:07, 2020-06-14 17:29:02, 1, Q685808
Ashkasham, 3901, BDS, 1, AF, 36.68333000, 71.53333000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q4805192
Aibak, 3883, SAM, 1, AF, 36.26468000, 68.01551000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q1020649
Baghlan, 3875, BGL, 1, AF, 36.13068000, 68.70829000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q732879
Balkh, 3884, BAL, 1, AF, 36.75635000, 66.89720000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q182159
Baraki Barak, 3897, LOG, 1, AF, 33.96744000, 68.94920000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q807234
Bamyan, 3872, BAM, 1, AF, 34.82156000, 67.82734000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q214495
Basawul, 3882, NAN, 1, AF, 34.24749000, 70.87218000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q214495
Bazarak, 3881, PAN, 1, AF, 35.31292000, 69.51519000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q214495
Chahar Burj, 3887, HER, 1, AF, 34.24475000, 62.19165000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21763949
Charikar, 3895, PAR, 1, AF, 35.01361000, 69.17139000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q944395
Chiras, 3885, SAR, 1, AF, 35.41674000, 65.98234000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21760615
Darzab, 3886, JOW, 1, AF, 35.97744000, 65.37828000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q5196429
Dasht-e Archi, 3900, KDZ, 1, AF, 37.13333000, 69.16667000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21758408
Dowlatabad, 3884, BAL, 1, AF, 36.98821000, 66.82069000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q2163607
Farah, 3899, FRA, 1, AF, 32.37451000, 62.11638000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q593156
Fayroz Koh, 3888, GHO, 1, AF, 34.51952000, 65.25093000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q958621
Fayzabad, 3901, BDS, 1, AF, 37.11664000, 70.58002000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q156558
Gardez, 3894, PIA, 1, AF, 33.59744000, 69.22592000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q467632
Gereshk, 3873, HEL, 1, AF, 31.82089000, 64.57005000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q3735459
Ghazni, 3870, GHA, 1, AF, 33.55391000, 68.42096000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q173731
Ghormach, 3871, BDG, 1, AF, 35.73062000, 63.78264000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q5556982
Ghoriyan, 3887, HER, 1, AF, 34.34480000, 61.49321000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q2634612
Herat, 3887, HER, 1, AF, 34.34817000, 62.19967000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q45313
Imam Sa?ib, 3900, KDZ, 1, AF, 37.18897000, 68.93644000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q670101
Jabal os Saraj, 3895, PAR, 1, AF, 35.11833000, 69.23778000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q670101
Jalalabad, 3882, NAN, 1, AF, 34.42647000, 70.45153000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q183303
Jurm, 3901, BDS, 1, AF, 36.86477000, 70.83421000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q10308323
Kabul, 3902, KAB, 1, AF, 34.52813000, 69.17233000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q5838
Kafir Qala, 3887, HER, 1, AF, 34.66667000, 61.06667000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q4115284
Kandahar, 3890, KAN, 1, AF, 31.61332000, 65.71013000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q45604
Karukh, 3887, HER, 1, AF, 34.48108000, 62.58630000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q6373621
Khanabad, 3900, KDZ, 1, AF, 36.68250000, 69.11556000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1247205
Khandud, 3901, BDS, 1, AF, 36.95127000, 72.31800000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q3290334
Khulm, 3884, BAL, 1, AF, 36.69736000, 67.69826000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1014375
Khash, 3896, NIM, 1, AF, 31.52919000, 62.79055000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21752345
Khost, 3878, KHO, 1, AF, 33.33951000, 69.92041000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q386682
Kuhsan, 3887, HER, 1, AF, 34.65389000, 61.19778000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q6426147
